date,area,average_price,code,houses_sold,no_of_crimes,borough_flag,year,month,median_salary,life_satisfaction,mean_salary,recycling_pct,population_size,number_of_jobs,area_size,no_of_houses,crime_rate_per_1k,price_to_mean_salary
1995-01-01,City Of London,91449,E09000001,17.0,,1,1995,1,,,,,,,,,,
1995-02-01,City Of London,82203,E09000001,7.0,,1,1995,2,,,,,,,,,,
1995-03-01,City Of London,79121,E09000001,14.0,,1,1995,3,,,,,,,,,,
1995-04-01,City Of London,77101,E09000001,7.0,,1,1995,4,,,,,,,,,,
1995-05-01,City Of London,84409,E09000001,10.0,,1,1995,5,,,,,,,,,,
1995-06-01,City Of London,94901,E09000001,17.0,,1,1995,6,,,,,,,,,,
1995-07-01,City Of London,110128,E09000001,13.0,,1,1995,7,,,,,,,,,,
1995-08-01,City Of London,112329,E09000001,14.0,,1,1995,8,,,,,,,,,,
1995-09-01,City Of London,104473,E09000001,17.0,,1,1995,9,,,,,,,,,,
1995-10-01,City Of London,108038,E09000001,14.0,,1,1995,10,,,,,,,,,,
1995-11-01,City Of London,117636,E09000001,11.0,,1,1995,11,,,,,,,,,,
1995-12-01,City Of London,127232,E09000001,18.0,,1,1995,12,,,,,,,,,,
1996-01-01,City Of London,108999,E09000001,17.0,,1,1996,1,,,,,,,,,,
1996-02-01,City Of London,93357,E09000001,10.0,,1,1996,2,,,,,,,,,,
1996-03-01,City Of London,93707,E09000001,17.0,,1,1996,3,,,,,,,,,,
1996-04-01,City Of London,120543,E09000001,14.0,,1,1996,4,,,,,,,,,,
1996-05-01,City Of London,112050,E09000001,19.0,,1,1996,5,,,,,,,,,,
1996-06-01,City Of London,114226,E09000001,28.0,,1,1996,6,,,,,,,,,,
1996-07-01,City Of London,97547,E09000001,30.0,,1,1996,7,,,,,,,,,,
1996-08-01,City Of London,114179,E09000001,25.0,,1,1996,8,,,,,,,,,,
1996-09-01,City Of London,108138,E09000001,32.0,,1,1996,9,,,,,,,,,,
1996-10-01,City Of London,98934,E09000001,33.0,,1,1996,10,,,,,,,,,,
1996-11-01,City Of London,99707,E09000001,31.0,,1,1996,11,,,,,,,,,,
1996-12-01,City Of London,106427,E09000001,26.0,,1,1996,12,,,,,,,,,,
1997-01-01,City Of London,116343,E09000001,22.0,,1,1997,1,,,,,,,,,,
1997-02-01,City Of London,111142,E09000001,37.0,,1,1997,2,,,,,,,,,,
1997-03-01,City Of London,107488,E09000001,70.0,,1,1997,3,,,,,,,,,,
1997-04-01,City Of London,108480,E09000001,19.0,,1,1997,4,,,,,,,,,,
1997-05-01,City Of London,115453,E09000001,12.0,,1,1997,5,,,,,,,,,,
1997-06-01,City Of London,118317,E09000001,21.0,,1,1997,6,,,,,,,,,,
1997-07-01,City Of London,117034,E09000001,26.0,,1,1997,7,,,,,,,,,,
1997-08-01,City Of London,113585,E09000001,9.0,,1,1997,8,,,,,,,,,,
1997-09-01,City Of London,115159,E09000001,22.0,,1,1997,9,,,,,,,,,,
1997-10-01,City Of London,121251,E09000001,22.0,,1,1997,10,,,,,,,,,,
1997-11-01,City Of London,131074,E09000001,18.0,,1,1997,11,,,,,,,,,,
1997-12-01,City Of London,130035,E09000001,37.0,,1,1997,12,,,,,,,,,,
1998-01-01,City Of London,124382,E09000001,48.0,,1,1998,1,,,,,,,,,,
1998-02-01,City Of London,143829,E09000001,43.0,,1,1998,2,,,,,,,,,,
1998-03-01,City Of London,156508,E09000001,39.0,,1,1998,3,,,,,,,,,,
1998-04-01,City Of London,163403,E09000001,28.0,,1,1998,4,,,,,,,,,,
1998-05-01,City Of London,143625,E09000001,30.0,,1,1998,5,,,,,,,,,,
1998-06-01,City Of London,132251,E09000001,32.0,,1,1998,6,,,,,,,,,,
1998-07-01,City Of London,140377,E09000001,17.0,,1,1998,7,,,,,,,,,,
1998-08-01,City Of London,148993,E09000001,34.0,,1,1998,8,,,,,,,,,,
1998-09-01,City Of London,152807,E09000001,40.0,,1,1998,9,,,,,,,,,,
1998-10-01,City Of London,162020,E09000001,42.0,,1,1998,10,,,,,,,,,,
1998-11-01,City Of London,152387,E09000001,23.0,,1,1998,11,,,,,,,,,,
1998-12-01,City Of London,155801,E09000001,48.0,,1,1998,12,,,,,,,,,,
1999-01-01,City Of London,149143,E09000001,41.0,,1,1999,1,33020.0,,48922.0,0.0,6581.0,362000.0,315.0,5463.0,,3.048587547524631
1999-02-01,City Of London,164545,E09000001,31.0,,1,1999,2,33020.0,,48922.0,0.0,6581.0,362000.0,315.0,5463.0,,3.3634152324107762
1999-03-01,City Of London,174586,E09000001,53.0,,1,1999,3,33020.0,,48922.0,0.0,6581.0,362000.0,315.0,5463.0,,3.5686603164220596
1999-04-01,City Of London,191157,E09000001,28.0,,1,1999,4,33020.0,,48922.0,0.0,6581.0,362000.0,315.0,5463.0,,3.9073831813907853
1999-05-01,City Of London,191081,E09000001,35.0,,1,1999,5,33020.0,,48922.0,0.0,6581.0,362000.0,315.0,5463.0,,3.9058296880748946
1999-06-01,City Of London,185993,E09000001,63.0,,1,1999,6,33020.0,,48922.0,0.0,6581.0,362000.0,315.0,5463.0,,3.801827398716324
1999-07-01,City Of London,164056,E09000001,42.0,,1,1999,7,33020.0,,48922.0,0.0,6581.0,362000.0,315.0,5463.0,,3.353419729365112
1999-08-01,City Of London,160905,E09000001,58.0,,1,1999,8,33020.0,,48922.0,0.0,6581.0,362000.0,315.0,5463.0,,3.2890110788602267
1999-09-01,City Of London,166193,E09000001,30.0,,1,1999,9,33020.0,,48922.0,0.0,6581.0,362000.0,315.0,5463.0,,3.3971015085237726
